attribute_id,label
0,abruzzi
1,achaemenid
2,aegean
3,afghan
4,after british
5,after german
6,after german original
7,after italian
8,after russian original
9,akkadian
10,alexandria-hadra
11,algerian
12,alsace
13,american
14,american or european
15,amsterdam
16,ansbach
17,antwerp
18,apulian
19,arabian
20,aragon
21,arica
22,asia minor
23,assyrian
24,atlantic watershed
25,attic
26,augsburg
27,augsburg decoration
28,augsburg original
29,austrian
30,avignon
31,avon
32,aztec
33,babylonian
34,babylonian or kassite
35,bactria-margiana archaeological complex
36,balinese
37,bavaria
38,bayreuth
39,beautiran
40,beauvais
41,belgian
42,berlin
43,birmingham
44,boeotian
45,bohemian
46,bologna
47,bordeaux
48,bow
49,brescia
50,bristol
51,british
52,british or french
53,british or scottish
54,brunswick
55,brussels
56,burma
57,burslem
58,byzantine
59,calima
60,cambodia
61,campanian
62,canaanite
63,canosan
64,castel durante
65,catalan
66,catalonia
67,caucasian
68,caughley
69,central asia
70,central european
71,central highlands
72,central italian
73,chalcidian
74,chantilly
75,chaumont-sur-loire
76,chelsea
77,chelsea-derby
78,chimu
79,china
80,chinese with dutch decoration
81,chinese with european decoration
82,chinese with french mounts
83,chiriqui
84,chorrera
85,chupicuaro
86,colima
87,colombian
88,colonial
89,colonial american
90,copenhagen
91,corinthian
92,coromandel coast
93,costa rica
94,costa rica or panama
95,cretan
96,crete
97,cyclades
98,cycladic
99,cypriot
100,cypriot or phoenician
101,czech
102,danish
103,deccan
104,dehua
105,delft
106,derby
107,deruta
108,devonshire
109,dresden
110,dublin
111,dutch
112,dyak
113,east greek
114,east greek/sardis
115,eastern european
116,eastern mediterranean
117,eastern mediterranean or italian
118,edinburgh
119,edomite
120,egypt
121,egyptian
122,elamite
123,england
124,etruria
125,etruscan
126,euboean
127,european
128,european bronze age
129,faliscan
130,ferrara
131,flemish
132,flemish or italian
133,florence
134,for american market
135,for british market
136,for continental market
137,for danish market
138,for european market
139,for french market
140,for iberian market
141,for portuguese market
142,for russian market
143,for swedish market
144,frankenthal
145,frankish
146,freiburg im breisgau
147,french
148,french or german
149,french or italian
150,french or swiss
151,fulda
152,furstenberg
153,gaul
154,geneva
155,genoa
156,german
157,german or swiss
158,ghassulian
159,gnathian
160,gonia
161,greek
162,greek islands
163,greek or roman
164,guanacaste-nicoya
165,gubbio
166,gurkha
167,haida
168,hanau
169,hattian
170,helladic
171,hilt
172,hittite
173,hochst
174,huastec
175,hungarian
176,hungary
177,huron
178,ica
179,inca
180,india
181,indian or nepalese
182,indonesia
183,inuit
184,iran
185,irish
186,isin-larsa
187,isin-larsaold babylonian
188,islamic
189,italian
190,italian or sicilian
191,italian or spanish
192,italic
193,italic-native
194,japan
195,javanese
196,jouy-en-josas
197,kathmandu valley
198,kazakhstan
199,kholmogory
200,kievan rus'
201,konigsberg
202,korea
203,la rochelle
204,laconian
205,lambayeque
206,lambeth
207,langobardic
208,leuven
209,lille
210,limoges
211,liverpool
212,london
213,london original
214,longton hall
215,lowestoft
216,ludwigsburg
